Time,Frame,WT,QW1,QW2,QW3,QW4,QW5,QW6,QW7,QW8,QW9,QW10,QW11,QW12
100.114,50057,8.954,10.9916,10.7914,4.1918,7.2736,7.8949,6.5046,7.957,9.7161,7.388,11.1644,3.1624,4.0223
100.116,50058,8.8419,10.953,10.7271,3.6384,7.6102,8.3306,6.1385,7.4843,9.5401,8.2576,11.2484,3.7228,4.066
100.118,50059,8.523,11.4899,11.0002,3.6427,7.9362,7.9787,6.4729,7.7837,9.1513,7.8096,10.7356,3.7517,3.4773
100.12,50060,8.9949,11.6899,10.5811,3.947,7.8561,6.172,6.4431,7.8811,8.8844,8.2135,11.6693,3.4287,3.9516
100.122,50061,8.6208,10.5132,10.6186,4.042,8.0361,7.8029,6.2756,8.2603,7.6784,7.6294,11.2749,3.8585,4.0129
100.124,50062,9.3645,11.5462,10.7585,3.9695,7.8363,7.7478,6.2357,7.4927,7.9739,8.1007,10.9253,3.7352,4.4144
100.126,50063,8.7792,11.1109,11.3402,4.4581,7.5227,8.7333,6.0629,7.5318,8.1056,8.2623,11.3778,3.4216,3.9254
100.128,50064,8.4787,11.3136,10.629,3.7744,7.9079,8.2257,5.912,7.8272,8.4456,6.7887,11.0656,3.7174,4.004
100.13,50065,7.8015,11.2175,10.4878,4.2304,8.0471,8.3037,5.8673,7.0636,8.9673,7.2575,11.3432,3.4858,3.705
100.132,50066,9.4838,10.7841,11.2273,4.3293,7.6339,7.508,6.0624,7.1906,8.5012,6.9465,11.4824,3.8136,3.5414
100.134,50067,9.0579,10.9868,10.5417,4.2745,7.7532,8.0903,5.9062,7.3691,8.2349,7.1413,10.8351,3.4819,3.9323
100.136,50068,9.0918,10.9111,11.2073,4.0075,7.7625,7.66,6.5966,7.4638,7.6726,7.7059,11.4912,3.8046,4.0284
100.138,50069,8.7931,10.6161,11.0654,3.9574,7.9763,8.0611,5.91,7.3415,8.1007,7.1095,11.7168,3.7108,3.7301
100.14,50070,8.8668,10.6452,10.4452,4.0884,7.6577,7.1133,5.6119,7.2595,7.4956,7.4221,10.9147,3.5183,4.2924
100.142,50071,8.7701,9.9668,10.4344,3.9725,8.3004,7.9149,5.4337,7.1603,7.6452,7.3294,11.1227,3.7717,4.0798
100.144,50072,8.956,11.0162,10.149,3.7031,7.8639,7.584,5.1559,7.2225,8.3193,7.7026,10.9145,3.7821,3.7291
100.146,50073,9.4381,9.9708,10.2569,4.0324,7.7872,6.934,5.9269,7.5218,7.5469,7.3554,11.3337,3.5848,3.9827
100.148,50074,9.113,9.9473,10.795,3.8493,7.7554,6.94,4.6599,7.3639,8.1197,7.7561,10.9898,3.6099,4.0744
100.15,50075,9.0255,10.3679,10.0255,3.869,8.2751,7.5546,4.7093,7.2053,7.7666,7.2683,11.0043,3.7153,3.8277
100.152,50076,8.6493,10.8754,10.3827,3.7158,7.5113,7.4159,5.8014,7.2534,7.5781,7.6759,11.0308,3.9191,4.0586
100.154,50077,9.097,10.5371,10.1506,3.9127,7.9801,7.4863,5.2933,7.2899,7.7834,7.2175,11.425,3.8391,3.8828
100.156,50078,9.393,10.1103,10.5881,4.0987,7.8396,7.0096,5.8392,6.9182,7.788,7.4425,11.4836,3.5958,3.5216
100.158,50079,8.7578,10.2332,10.7517,3.7708,8.0865,6.9517,5.8802,7.2885,7.7479,8.115,11.3882,3.5573,3.7488
100.16,50080,9.3389,10.993,10.713,3.363,8.2489,6.5551,5.7195,7.0685,8.3517,8.1518,10.9361,3.8819,3.8619
100.162,50081,8.9829,9.9658,10.4903,3.9032,8.0683,7.2799,5.5972,7.1666,8.6913,7.6424,10.9076,3.4974,4.0089
100.164,50082,8.8949,10.9129,10.5567,4.3101,7.832,6.8125,6.2046,7.3343,8.279,6.9928,11.1617,3.2749,3.5542
100.166,50083,8.7288,10.7215,10.4932,4.0693,7.6273,6.5992,5.8421,7.4806,8.2287,7.6955,11.6872,3.9101,4.2561
100.168,50084,8.7029,11.2305,10.5973,4.1569,8.2203,7.4593,5.8231,7.0719,7.9313,7.3548,11.6154,3.7825,3.7262
100.17,50085,9.2434,10.853,10.2557,3.8085,7.5347,7.8682,5.3509,7.2945,7.7506,7.1664,11.1883,3.4533,3.9889
100.172,50086,8.7296,10.7327,10.605,3.7182,8.0684,7.9035,6.2279,7.6852,7.3714,7.9592,11.9453,3.674,4.0073
100.174,50087,8.7951,10.9455,10.6314,3.8688,7.5914,7.8984,6.1939,8.0248,7.0994,7.5347,10.8997,3.4825,4.5233
100.176,50088,8.8273,10.9569,10.0453,3.6424,7.7998,8.525,6.1078,7.5941,7.5422,7.8863,10.9652,4.3604,3.6729
100.178,50089,9.2406,10.5471,10.2578,3.8528,7.9033,8.0256,5.8885,7.5309,7.8789,7.6306,10.8201,3.6507,3.8831
100.18,50090,9.0096,10.3848,10.0554,3.5697,7.3751,8.7175,5.319,7.774,7.7491,8.1332,10.9356,3.3183,3.7919
100.182,50091,9.124,10.8443,10.4516,4.0061,7.9964,8.8467,5.4678,7.5794,7.6627,7.974,11.077,3.6756,4.2285
100.184,50092,8.5199,10.7337,10.7569,3.862,8.0702,8.8586,5.7657,7.2719,7.6495,7.5675,11.1672,4.2312,3.2787
100.186,50093,8.4351,10.3598,10.5745,4.5497,8.1472,8.133,5.6036,7.5372,7.8263,7.5623,11.5555,3.5903,3.6971
100.188,50094,8.2177,11.3041,10.6224,4.0091,7.7433,8.5984,5.6435,7.5955,8.0332,7.9707,10.9045,3.6583,4.3993
100.19,50095,8.6022,10.4522,10.3602,4.1713,8.2536,8.2666,5.5083,7.792,7.5618,7.8238,10.9163,3.8007,4.1021
100.192,50096,8.8113,11.4865,10.4144,4.1655,8.3435,8.503,5.651,7.331,7.4295,8.1072,11.5556,3.7675,4.119
100.194,50097,8.5992,9.9775,10.6381,3.9138,7.866,8.6857,5.7748,7.8487,7.8845,7.5594,11.04,3.5875,3.7216
100.196,50098,9.1568,9.6528,10.4498,4.0927,7.9519,9.0338,5.6411,7.2627,7.3278,8.447,11.1137,3.6922,4.2365
100.198,50099,8.7501,9.9847,10.5938,4.0771,7.9811,8.1612,5.5629,7.6322,7.3142,7.7964,11.5662,4.2178,3.964
100.2,50100,8.7142,10.7279,10.5141,4.5436,7.9333,8.1448,5.76,7.5888,7.6594,7.6003,11.7209,3.9121,3.546
100.202,50101,8.9384,9.9283,10.612,4.2432,8.2671,7.6604,5.5454,7.2692,7.6322,7.7205,11.6856,4.1415,4.6357
100.204,50102,8.453,9.9207,10.5466,3.7651,7.6767,8.1247,5.8329,7.981,8.0761,7.4088,11.3626,3.8769,3.7359
100.206,50103,8.7589,10.6904,10.4407,4.0328,7.7027,8.3803,5.6915,7.797,7.3257,7.275,11.1651,3.6933,3.4138
100.208,50104,8.4344,10.6676,10.7114,3.9254,7.8122,8.7463,5.9232,7.9778,7.8955,7.3815,10.9506,3.6958,4.1155
